Keyword	Keyword (Greek)	Synonyms
scarf		"scarf, scarves, headscarf"
trousers		"pants, trousers"
tunic		"kameez, tunic, tunics"
blazer		"blazer, blazers, tux, tuxedo"
camisole		"camisole, negligee, wrapper"
socks		"hosiery, socks, stockings, "
t-shirt		"t-shirt, t-shirts, "
hose		"hose, pantyhose"
swimwear		"bikini, bikinis, swimwear"
jacket		"jacket, jackets"
wallet		"billfold, wallet, wallets"
shapewear		shapewear
shorts		"shorts, jeans"
boho skirt		"boho skirts, boho skirt"
skirt		"skirt, skirts"
dress shirt		"dress shirt, dress shirts"
hoodie		"hoodie, hoodies"
jewelry		"jewel, jewelry, jewels"
jeans		jeans
bra		"bra, brassiere"
top		"cleavage tops, knit top, top, tops"
corset		"corset, corsets, corselette, corsellettes, girdle"
underwear		"undies, lingerie, underclothes, underwear"
outerwear		outerwear
suit		"suit, suits"
undershirt		"undershirt, undershirts"
pajamas		"onsies, pajamas, pjs"
coat		"coats, coat"
handbag		" handbag, handbags, hobo bag, holder"
dress 		"dress, casual dress, casual dresses, dresses"
suspenders		"suspender, suspenders"
blouse		"blouse, blouses, pullover, v-neck, bodysuit, pullovers, bodysuits"
cardigan		"cardigan, cardigans"
tie		"tie, ties"
sleepwear		"pijamas, pjs, sleepwear"
shirt		"casual shirt, shirt, shirts"
tights		"tights, colan, leggings"
polo		"polo, polo shirts, polo shirt"
panties		"panties, briefs, underpants"
shoes		"shoes, leather shoes,  pair of shoes"
boots		"ankle boots, boots"
heels		"heels, peep toe heels, heel laces"
peep toes		peep toes
platforms		platforms
sandals		sandals
flip flops		flip flops
outsole		outsole
messenger bag		"messenger bag, messenger bags"
shoulder bag		"shoulder bag, shouler bags, shoulder strap bag"
backpack bag		"backpacks, backpack bag, , clatch bag"
 wedding dress		"wedding dress, gowns, gown, wedding gowns, wedding dresses"
jean skirt		"jean skirts, jean skirt"
leather skirt		"leather skirt, leather skirts, "
zip pocket		"zip pocket, zip pockets, outer pocket, slip pocket"
